Świt Nowy Dwór Maz.	1	26	22	21	42	-21	5	5	0	0	7	14
Miedź Legnica	1	20	21	21	35	-14	5	5	0	0	6	9
Rymer Rybnik	1	26	19	45	64	-19	8	0	8	0	3	15
GKS Jastrzębie	1	30	19	24	43	-19	8	0	8	0	8	14
Dąb Katowice	2	36	14	29	97	-68	7	0	7	0	0	29
ŁTSG Łódź	1	22	12	25	67	-42	3	0	3	0	6	13
Śmigły Wilno	1	18	11	29	50	-21	5	0	5	0	1	12
Jutrzenka Kraków	1	26	11	41	82	-41	3	0	3	0	5	18
Lechia Lwów	1	22	11	23	66	-43	5	0	5	0	1	16
Union Touring Łódź	1	12	3	15	51	-36	1	0	1	0	1	10
